lad_code,lad_name,stp_code,stp_name,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E07000063,Lewes,E54000053,Sussex Health and Care Partnership,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),62,15.762306451612902,12.76,6.467741935483871,195,7
E07000064,Rother,E54000053,Sussex Health and Care Partnership,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),58,19.799706896551726,18.6175,5.413793103448276,139,5
E07000065,Wealden,E54000053,Sussex Health and Care Partnership,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),95,12.487631578947369,10.796,7.336842105263157,246,8
E07000066,Basildon,E54000026,Mid and South Essex,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East,110,22.80630909090909,21.6645,5.199999999999999,102,4
E07000067,Braintree,E54000026,Mid and South Essex,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East,87,14.791563218390804,14.268,6.60919540229885,209,7
E07000068,Brentwood,E54000026,Mid and South Essex,TLH36,Heart of Essex,TLH3,Essex,TLH,East,46,10.041695652173914,8.440000000000001,8.021739130434783,282,10
E07000069,Castle Point,E54000026,Mid and South Essex,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East,57,16.844333333333335,14.074,6.280701754385964,178,6
E07000070,Chelmsford,E54000026,Mid and South Essex,TLH36,Heart of Essex,TLH3,Essex,TLH,East,107,12.06096261682243,10.437,7.4953271028037385,253,9
E07000071,Colchester,E54000023,Suffolk and North East Essex,TLH34,Essex Haven Gateway,TLH3,Essex,TLH,East,105,17.088638095238096,14.848,6.171428571428572,174,6
E07000072,Epping Forest,E54000025,Hertfordshire and West Essex,TLH35,West Essex,TLH3,Essex,TLH,East,78,14.7425,13.2055,6.628205128205129,211,7
E07000073,Harlow,E54000025,Hertfordshire and West Essex,TLH35,West Essex,TLH3,Essex,TLH,East,54,21.64987037037037,22.1935,4.814814814814815,119,4
E07000074,Maldon,E54000026,Mid and South Essex,TLH36,Heart of Essex,TLH3,Essex,TLH,East,40,14.016925,12.9055,6.8,221,8
E07000075,Rochford,E54000026,Mid and South Essex,TLH37,Essex Thames Gateway,TLH3,Essex,TLH,East,53,10.532018867924528,8.082,8,277,9
