lad_code,lad_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E07000091,New Forest,114,13.113315789473685,10.9805,7.210526315789474,238,8
E07000096,Dacorum,94,12.805542553191488,11.576,7.212765957446808,239,8
E07000040,East Devon,81,12.706506172839505,11.881,7.197530864197531,240,8
E07000169,Selby,50,12.67568,9.8635,7.3,241,8
E07000084,Basingstoke and Deane,109,12.672642201834861,10.445,7.3577981651376145,242,8
E07000194,Lichfield,58,12.668620689655173,10.907499999999999,7.293103448275862,243,8
E07000111,Sevenoaks,74,12.566662162162162,11.25,7.364864864864865,244,8
E07000133,Melton,30,12.558766666666667,11.247499999999999,7.4,245,8
E07000065,Wealden,95,12.487631578947369,10.796,7.336842105263157,246,8
E07000011,Huntingdonshire,105,12.457009523809523,10.553,7.352380952380953,247,8
E07000166,Richmondshire,34,12.312411764705882,11.9845,7.352941176470588,248,8
E07000212,Runnymede,52,12.262173076923077,10.9845,7.307692307692308,249,9
E07000031,South Lakeland,59,12.229677966101695,11.483,7.271186440677966,250,9
E07000083,Tewkesbury,50,12.09806,9.866,7.5,251,9
E07000222,Warwick,86,12.065558139534884,9.9635,7.476744186046512,252,9
E07000070,Chelmsford,107,12.06096261682243,10.437,7.4953271028037385,253,9
E07000215,Tandridge,50,12.059619999999999,10.221,7.38,254,9
E06000022,Bath and North East Somerset,115,12.052582608695653,9.318,7.495652173913044,255,9
E06000053,Isles of Scilly,1,12.005,12.005,7,256,9
E06000056,Central Bedfordshire,157,11.968337579617835,9.404,7.528662420382166,257,9
E06000014,York,120,11.942108333333334,8.3885,7.6416666666666675,258,9
E07000164,Hambleton,52,11.906230769230769,11.349499999999999,7.461538461538462,259,9
E07000035,Derbyshire Dales,43,11.84332558139535,10.187,7.558139534883721,260,9
E07000099,North Hertfordshire,82,11.826146341463415,9.9595,7.560975609756097,261,9
E07000144,Broadland,84,11.767738095238094,10.742,7.476190476190476,262,9
E07000221,Stratford-on-Avon,73,11.747397260273972,11.153,7.410958904109589,263,9
E07000139,North Kesteven,64,11.661015625,9.318999999999999,7.515625,264,9
E07000234,Bromsgrove,58,11.624172413793104,9.121500000000001,7.637931034482759,265,9
E06000025,South Gloucestershire,165,11.620496969696969,10.375,7.563636363636364,266,9
E07000093,Test Valley,71,11.598239436619718,11.428,7.577464788732395,267,9
E07000009,East Cambridgeshire,50,11.54288,11.399000000000001,7.5,268,9
E07000211,Reigate and Banstead,86,11.379139534883722,9.0915,7.732558139534884,269,9
E07000116,Tunbridge Wells,68,11.351823529411766,10.5565,7.617647058823529,270,9
E09000021,Kingston upon Thames,98,11.303244897959184,9.8155,7.622448979591836,271,9
E07000079,Cotswold,51,10.974862745098038,10.857,7.647058823529412,272,9
E07000129,Blaby,60,10.924683333333334,10.415,7.716666666666667,273,9
E07000082,Stroud,69,10.821985507246376,9.483,7.811594202898551,274,9
E07000165,Harrogate,104,10.756365384615385,10.6355,7.836538461538462,275,9
E07000217,Woking,61,10.565262295081967,7.943,7.918032786885246,276,9
E07000075,Rochford,53,10.532018867924528,8.082,8,277,9
E07000085,East Hampshire,72,10.389,8.8195,7.986111111111111,278,9
E07000124,Ribble Valley,40,10.295325,8.738,7.95,279,9
E06000036,Bracknell Forest,75,10.282426666666666,9.013,7.959999999999999,280,10
E07000086,Eastleigh,77,10.065285714285714,8.357,8.064935064935066,281,10
E07000068,Brentwood,46,10.041695652173914,8.440000000000001,8.021739130434783,282,10
E06000037,West Berkshire,97,9.889938144329896,9.049,8.072164948453608,283,10
E06000060,Buckinghamshire,319,9.883423197492164,8.673,8.043887147335422,284,10
E07000102,Three Rivers,53,9.83277358490566,6.696,8.056603773584905,285,10
E07000209,Guildford,84,9.723202380952381,7.925,8.19047619047619,286,10
E07000094,Winchester,70,9.671557142857143,7.6125,8.185714285714285,287,10
E07000227,Horsham,81,9.571308641975309,8.615,8.148148148148149,288,10
E09000027,Richmond upon Thames,115,9.423121739130435,7.46,8.321739130434782,289,10
E07000077,Uttlesford,46,9.281565217391304,9.0135,8.152173913043478,290,10
E07000210,Mole Valley,54,9.139111111111111,7.3215,8.296296296296296,291,10
E07000087,Fareham,73,9.120712328767123,7.212,8.32876712328767,292,10
E07000181,West Oxfordshire,66,8.76909090909091,7.262,8.469696969696969,293,10
E06000017,Rutland,23,8.706521739130435,7.601,8.478260869565217,294,10
E07000012,South Cambridgeshire,96,8.6168125,8.118,8.427083333333334,295,10
E06000040,Windsor and Maidenhead,89,8.460516853932583,5.821,8.48314606741573,296,10
E07000208,Epsom and Ewell,44,8.441204545454546,5.868,8.704545454545455,297,10
E07000180,Vale of White Horse,76,8.38275,7.7925,8.56578947368421,298,10
E07000242,East Hertfordshire,84,8.353107142857143,7.3885000000000005,8.55952380952381,299,10
E07000240,St Albans,87,8.335448275862069,6.461,8.505747126436782,300,10
E07000179,South Oxfordshire,89,8.328674157303372,7.093,8.50561797752809,301,10
E07000131,Harborough,47,8.06731914893617,7.257,8.553191489361701,302,10
E07000207,Elmbridge,81,8.006716049382716,5.827,8.703703703703704,303,10
E07000214,Surrey Heath,55,7.960890909090909,6.338,8.690909090909091,304,10
E07000228,Mid Sussex,86,7.737162790697674,6.333500000000001,8.767441860465116,305,10
E07000216,Waverley,82,7.616134146341463,6.413,8.71951219512195,306,10
E07000176,Rushcliffe,68,7.288176470588235,5.923,8.823529411764707,307,10
E06000041,Wokingham,99,5.819434343434343,4.552,9.272727272727273,308,10
E07000089,Hart,57,5.6826491228070175,4.696,9.385964912280702,309,10
