scenario,imd_decile,age_group,age_idx,adm_base,adm_cf,adm_diff,adm_attr_frac,death_base,death_cf,death_diff,death_attr_frac,adm_avoided_abs,death_avoided_abs
CF2: decile 5 πₐ,4,5 to 9,3,0.06881100203405906,0.0665642103160299,0.002246791718029162,3.265163493647539,0.0027442466904306693,0.0026513986243509448,9.284806607972457e-5,3.383371706468321,0.6036031983342843,0.024943740532404494
CF2: decile 5 πₐ,4,10 to 14,4,0.017856137267216146,0.01721798127634964,6.381559908665048e-4,3.5738748045925846,6.934603263579032e-4,6.678003260649946e-4,2.566000029290854e-5,3.7002838255616526,0.1588846601924772,0.0063886894198733595
CF2: decile 5 πₐ,4,15 to 19,5,0.007808743057826248,0.007325230192348451,4.8351286547779725e-4,6.191942312574883,2.3587242008468005e-4,2.2097586380770794e-4,1.4896556276972105e-5,6.315514239275674,0.11444828441808075,0.0035260391839876224
CF2: decile 5 πₐ,4,20 to 24,6,0.015367526926606739,0.014269218597579418,0.0010983083290273202,7.146942603534677,5.372946320147165e-4,4.981720919571405e-4,3.9122540057575966e-5,7.281394178623471,0.3580938277121786,0.012755562121109917
CF2: decile 5 πₐ,4,25 to 29,7,0.08548560376733995,0.07875935094688603,0.006726252820453915,7.868287201620844,0.0038183852102866927,0.0035128043675390947,3.05580842747598e-4,8.002881477865726,2.3706222557308183,0.107699898603209
CF2: decile 5 πₐ,4,30 to 34,8,0.1084221432473954,0.09938345509287207,0.009038688154523328,8.33657026489417,0.005401424502070085,0.004943885399301161,4.575391027689243e-4,8.470711801925091,3.1646387806988776,0.16019426310045845
CF2: decile 5 πₐ,4,35 to 39,9,0.14892387982486174,0.13420191101022602,0.014721968814635722,9.8855662583792,0.008070089513118163,0.007261665391229723,8.084241218884406e-4,10.017535996029832,4.716971205943996,0.2590219659579336
CF2: decile 5 πₐ,4,40 to 44,10,0.21484194033397142,0.19187651535708675,0.02296542497688467,10.689451482883165,0.01326303090244226,0.011827968067100637,0.001435062835341623,10.820021802688931,6.315412213453002,0.394637302227638
CF2: decile 5 πₐ,4,45 to 49,11,0.31565161016236926,0.2793508758556867,0.03630073430668257,11.500253170896132,0.02381227847397771,0.021042496419837204,0.0027697820541405065,11.631738882809351,9.736070747441477,0.7428718605601721
CF2: decile 5 πₐ,4,50 to 54,12,0.35749235214723957,0.312454253564586,0.04503809858265356,12.598339044775935,0.03264591630050806,0.0284894398245652,0.004156476475942861,12.731995137407658,12.558154368728507,1.158967071380386
CF2: decile 5 πₐ,4,55 to 59,13,0.551137591870705,0.4769490371916114,0.07418855467909358,13.46098610825624,0.06266618605908991,0.05414727539201579,0.008518910667074123,13.594110640531682,19.68032051702541,2.259848478099154
CF2: decile 5 πₐ,4,60 to 64,14,0.9982163311358799,0.8856091753359909,0.112607155799889,11.280836857452757,0.13937336233968675,0.12346355255785563,0.015909809781831125,11.415244286820785,24.926268002865264,3.521731631347365
CF2: decile 5 πₐ,4,65 to 69,15,1.0433702727748626,0.9398088842972998,0.1035613884775628,9.925660255025223,0.17685770449248328,0.15906832405766497,0.017789380434818314,10.058583812261562,19.30154194829481,3.3155452794186138
CF2: decile 5 πₐ,4,70 to 74,16,1.7101496785707369,1.568734358599759,0.14141531997097778,8.269177940562846,0.3366474526851006,0.3083472344400098,0.028300218245090825,8.406485187803515,25.393449577237913,5.081770243697971
CF2: decile 5 πₐ,4,75+,17,3.7180351430441436,3.507251041832823,0.21078410121132052,5.669233697418495,0.8879698582118202,0.8363874434703402,0.051582414741479954,5.809027667375536,65.93887858741367,16.136352615485556
